تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى الموظفين الاداريين,الموارد البشرية,ماهي آلية اعتماد الموافقة على إجازة الأمومة ؟,موافقة-اعتماد-اجازة-رعاية-مولود-طلب,الموافقة على إجازة الأمومة من صلاحيات مدير التعليم.,من اين احصل على الموافقة لطلب اجازة رعاية مولود ؟,من وين احصل على الموافقة لطلب اجازة  رعاية مولود ,شلون احصل على الموافقة لطلب اجازة رعاية مولود 
مستوى الموظفين الاداريين,الموارد البشرية,ماهي آلية الموافقة و اعتماد الإجازات الاستثنائية؟,موافقة-اعتماد-اجازة-استثنائية-طلب,"تتم الموافقة على الإجازة الاستثنائية من مدير التعليم وحسب توفر البديل،  وعدم وجود نقص في الميدان. ",من اين احصل على الموافقة لطلب الاجازة الاستثنائية ؟,من وين احصل على الموافقة لطلب الاجازة الاستثنائية ,شلون احصل على الموافقة لطلب الاجازة الاستثنائية 
مستوى الموظفين الاداريين,الموارد البشرية,ما هي آلية توجيه المعلم أو المعلمة  المجاز أو المكلف في مهمه فصل دراسي أو أكثر ؟ ,توجيه - معلم - مجاز- مكلف-مهمة-فصل-دراسي,"آلية المعلم أو المعلمة المجاز أو المكلف في مهمة فصل دراسي أو أكثر يوجه وفق الاحتياج، ومن يقل انقطعاه عن ذلك يوجه لموقعه السابق حال رغبته، وتوفر احتياج فعلي.",هل يمكن توجيه المعلم المجاز او المكلف في مهمة فصل دراسي او اكثر ؟,هل بالامكان توجيه المعلم المجاز او المكلف في مهمة فصل دراسي او اكثر ,هل يمكن ان يتم  توجيه المعلم المجاز او المكلف في مهمة فصل دراسي او اكثر 
مستوى الموظفين الاداريين,الموارد البشرية,هل الإجازة الاستثنائية تحسب غيابا  بعذر أو بدون في حركة النقل الخارجي؟,اجازة-استثنائية-حركة-نقل-خارجي-عذر-بدون,تحسب بعذر .,هل يتم احتساب الاجازة الاستثناية بعذر او بدون عذر في حركة النقل الخارجي ؟ ,هل  يحتسب الاجازة الاستثناية بعذر او بدون عذر في حركة النقل الخارجي,هل  تحتسب الاجازة الاستثناية بعذر او بدون عذر في حركة النقل الخارجي
مستوى الموظفين الاداريين,الموارد البشرية,هل الإجازة المرضية لمدة شهر تمنع من دخول الحركة النقل الخارجي ؟,نقل-خارجي-مدة-نقل-شهر-دخول-مرضية-اجازة,"لا، لا تمنع الإجازة المرضية من دخول الحركة.",هل الإجازة المرضية لمدة شهر تمنع من دخول الحركة النقل الخارجي ؟,هل تؤثر الاجازة المرضية على حركة النقل  حال كانت مدتها شهر ,هل تؤثر  الاجازة المرضية حال كانت مدتها شهر  على  النقل 
مستوى الموظفين الاداريين,الموارد البشرية,هل يحق للجهة إعادة توجيه المعلم أو المعلمة العائد من إجازة إلى جهة أخرى بنفس القطاع؟,اعادة - توجيه - اجاز - ادارة - تعليم - اخرى - مدرسة ,"نعم، فحسب قرار معالي النائب رقم 341914099 وتاريخ 19/11/1434هـ فقرة (ج) من (10)  وهو تقرير معالي الوزير رقم 361910376 وتاريخ 8/11/1436ه(1434ه )ـ فقرة رابعاً رقم (11) ما نصه: "" يتم توجيه المعلم العائد من إجازة حسب الاحتياج والموازنة في الأنظمة في داخل قطاع النقل مع مراعاة التوجيه للمدرسة الأقرب فالأقرب وذلك لاستدراك الميدان والموازنة بين المدارس .",هل يحق لإدارة التعليم اعادة توجيهي لمدرسة اخرى بعد اجازة ؟,هل يحق لإدارة التعليم اعادة التوجيه لمدرسة اخرى بعد اجازة ,من حق الادارة اعادة توجيهي الى مدرسة اخرى بعد اجازة رعاية المولود
مستوى الموظفين الاداريين,الموارد البشرية,هل تؤثر إجازة رعاية المولود على حركة النقل الخارجي للمعلمات؟,حركة-نقل-تؤثر-خارجي-معلمات,نعم نؤثر في حركة النقل, اذا تمتعت باجازة رعاية مولود هل تؤثر على حركة نقلي؟,هل تؤثر اجازة رعاية المولود على حركة النقل   ,هل تؤثر اجازة رعاية المولود على  النقل 
مستوى الموظفين الاداريين,الموارد البشرية,هل يمكن طلب إجازة بدون راتب للمعلم؟,طلب-اجازة-راتب-معلم,يمكن التقدم بطلب اجازة استثنائية وفق الضوابط عن طريق نظام فارس,هل يمكن للمعلم طلب اجازة بدون راتب ؟ وماهو نوع الاجازة ؟,هل يستطيع المعلم طلب اجازة بدون راتب وماهو نوع الاجازة ,هل يقدر المعلم طلب اجازة بدون راتب وماهو نوع الاجازة 
مستوى الموظفين الاداريين,الموارد البشرية,ماهي آلية وضوابط الإجازة التعويضية وما هو حق الموظفة من الإجازة التعويضية إذا كان المولود متوفي؟,اجازة-تعويضية-طلب-مولود-متوفي-موظفة-ضوابط,"من حق الموظفة الحصول على بدلها اعتيادية (صيفية) لا تقل عن 36 يوما في العام، وإذا لم تحصل عليها كلها، أو حصلت على جزء منها ( لمرض أو وضع أو إجازة عدة الوفاة عن الزوج ‏‎)
وتستحق التعويض عنها إذا تداخلت مع الصيفية كالمرضية والوضع تماماً .

فيحق لها أن تعوض بإجازة بدلها .

الخطوات الحسابية للإجازة التعويضية:

1_ حصر تاريخ بداية ونهاية الإجازة الصيفية 

2_ طرح عدد أيام المرضي والوضع منها

3_ إذا قل عدد الأيام المتبقية من الحصر عن 36 يوما فتستحق الموظفة إجازة بعدد الأيام التي نقصت  وإذا لم يقل لا تستحق.",ماهي الية طلب اجازة تعويضية وهل يمكن تعويض الموظفة اذا كان المولود متوفي ؟,شلون اطلب اجازة تعويضة  وهل يمكن التعويض حال كان الطفل متوفي  ,كيف اطلب اجازة تعويضة  وهل يمكن التعويض حال كان الطفل متوفي  
مستوى الموظفين الاداريين,الموارد البشرية,"ماهي آلية الحصول على الإجازة الاستثنائية ؟ 
 وهل يحق للمعلم - المعلمة -الموظف - الموظفة قطع إجازته الاستثنائية بعد إجازة المدارس؟",اجاز - استثنائي ,"بالرجوع إلى لائحة إجازات الخدمة المدنية برقم 1037/1 وتاريخ 16/02/1426هـ المادة (19) : نعم يحق للموظف الذي يعمل في المدارس الحصول على إجازة استثنائية بموافقة الرئيس المباشر، وبموافقة شؤون الموظفين في الإدارة التابع لها",هل اقدر اقدم على اجازة استثنائية ,خطوات تقديم إجازة استثنائية ,كيف اقدر اقدم على إجازة استثنائية 
مستوى الموظفين الاداريين,الموارد البشرية,هل يحق للمعلم - المعلمة -الموظف - الموظفة قطع إجازته الاستثنائية بعد إجازة المدارس؟,قطع - اجاز - استثنائي - ,نعم يستطيعان  قطعها في إدارة التعليم لأن المدارس تكون مغلقة في العطل الرسمية للمدارس.  ,هل اقدر اقطع اجازتي الاستثائية بعد اجازة المدارس ,كيف اقطع إجازتي (استثنائية ) بعد الاجازة الرسمية ,انتهت الاجازة الرسمية وابغى اقطع إجازتي الاستثنائية 
مستوى الموظفين الاداريين,الموارد البشرية,كيف يمكن للموظف اكمال الدراسة بشرط عدم التفريط بالوظيفة؟,توظيف - دراس - جمع - تمسك ,يمكنه طلب إجازة استثنائية بموافقة جهة العمل.,هل اقدر اتوظف و انا ادرس ,ارغب بالدراسة ولكن انا موظف ,هل من الممكن ادرس ونا موظف 
مستوى الموظفين الاداريين,الموارد البشرية,هل يحق للمدير منع الموظف من إكمال الدراسة في الجامعة الإلكترونية ان ترتب ذلك تغيبه الجزئي المتكرر  عن العمل ,منع - دراس - مدير - جامع - الكتروني -  غياب ,"نعم يحق له ذلك حيث يعتمد قبول الدراسة واعتماد المؤهل على موافقة المدير المباشر على الدراسة، كما أن الدراسة بالتغيب الجزئي عن العمل ليست نظاما صريحا ومعتمدا لدى وزارة التعليم.",مالحل في حال تم منعي من اكمال دراستي في الجامعة الالكترونية بسبب غياباتي المتكررة ,انا ارغب بأكمال الدراسة في الجامعة ولكن قائد المدرسه يرفض  هل له حق بذلك ,ارغب بأكمال الدراسة في الجامعة الالكترونية ولكن المدير  رافض تمام هل يحق له 
مستوى الموظفين الاداريين,الموارد البشرية,"ماهي آلية وضوابط الإجازات وهل يصرف كامل الراتب في إجازة رعاية مولود تخللها إجازة رسمية؟
",اجاز - راتب - لائح - ضوابط - شروط,"صدر تعميم سعادة المستشار والمدير العام للشؤون الإدارية والمالية المكلف رقم 30271611/7 وتاريخ 14/6/1430 هـ المبني على خطاب وكيل وزارة الخدمة المدنية المساعد للمراجعة رقم 25418/805 وتاريخ 3/6/1430 المتضمن: أنه يجوز قطع إجازة الأمومة بالعطلة الصيفية وبإجازة منتصف العام الدراسي إلا أنه ينبغي مراعاة تداخل الإجازات مع إجازة الأمومة بحيث يتم منح إجازة الأمومة إلى حين بداية العطلة الصيفية أو إجازة منتصف العام الدراسي ثم يتم منح إجازة أمومة أخرى بعد انتهاء أي من الإجازتين المشار إليهما مع مراعاة عدم تجاوز الطفل ثلاث سنوات من عمره .
ثانياً : بالنسبة لإجازات العيدين، أو العطلة الأسبوعية، أو اليوم الوطني، أو الاضطرارية، أو الدراسة الاستثنائية، بغرض المرافقة للخارج . فهذه الإجازات ليس لك الحق فيها فهي تدخل ضمن إجازة رعاية المولود .
أي أنه ليس لك منها إلا إجازة العطلة الصيفية ومنتصف العام فقط .", في حال تمت الولادة في إجازة رسمية هل يتم صرف كامل الراتب؟, آلية وضوابط الإجازات وهل يصرف كامل الراتب في إجازة رعاية مولود تخللها إجازة رسمية؟,وش آلية وضوابط الإجازات وهل يصرف كامل الراتب في إجازة رعاية مولود تخللها إجازة رسمية؟
مستوى الموظفين الاداريين,الموارد البشرية,كيفية استحقاق حوافز الندب؟,كيفية-استحقاق-حوافز-ندب-كيف-أستحق,بالرجوع الى ادارة التعليم التابعة لمعرفة مدى الإستحقاق ,كيف أستحق حوافز الندب؟,حوافز الندب للمعلمين ؟,ارغب بتزويدي ب كيفية استحقاق حوافز الندب؟
مستوى الموظفين الاداريين,الموارد البشرية,من هم المستحقين للحوافز غير المعلمين للصفوف الأولية ؟,من-هم-مستحق-حوافز-معلم-صفوف-اولية-هل-انا-استحق-حوافز-حافز,الأمن والسلامة/ فطن/ المنتدب جزئياً أو كلياً/ من يدرس غير  تخصصه في المتوسط والثانوي / معلم الموهوبين / معلم الفكرية / معلم العوق المتعدد / معلم التوحد.,هل انا استحق الحوافز؟,من هو المستحق للحوافز ؟,انا معلم منتدب هل استحق للحوافز ؟
مستوى الموظفين الاداريين,الموارد البشرية,هل يحق التمتع بحوافز فطن في أي وقت من العام الدراسي ؟,يحق-تمتع-حوافز-فطن-وق-عام-دراسي-أتمتع-تأجيل-تعويض,الحوافز المحددة بمدة وفترة محددة لايجوز تأجيلها أو طلب التعويض عنها .,متى أتمتع بحوافز فطن؟,هل من الممكن تأجيل حافز فطن ؟,ماتمتعت بحوافز فطن وابي تعويض ؟
مستوى الموظفين الاداريين,الموارد البشرية,هل بالإمكان لمن كلف الفصل الدراسي الأول وحصل على حافز بالحصول على حافز في الفصل الثاني؟,امكان-كلف-فصل-دراسي-اول-حصل-حافز-حصول-ثاني-ابي-احصل-يسمح-لي-استحق-يستحقون-حوافز,"من كلف الفصل الدراسي الاول وحصل على حافز التكليف وانتهاء التكليف , لايحصل على حافز الفصل الدراسي الثاني ",اذا كنت مكلف في الفصل الأول وحصلت على حافز هل احصل على حافز الفصل الثاني ؟,انا مكلف الفصل الاول واخذت الحافز هل استحق حافز الفصل الثاني؟,المكلفين الفصل الاول هل يستحقون حافز الفصل الثاني ؟
مستوى الموظفين الاداريين,الموارد البشرية,مامدى استحقاق معلمي الصفوف الأولية للحوافز وهل أيام الغياب تأثر على مدى استحقاق الحوافز لمن يتبع ادارة تعليم مكة  ؟ ,استحقاق-حافز-معلم-صفوف-اولية-أيام-غياب-تأثر-مدى-استحقاق-حوافز-يتبع-ادارة-تعليم-مكة,"في حال الغياب منفصل مثلاً 5 ايام فصل أول و3 ايام فصل ثاني تمنح الحافز ..
   اما في حال الغياب متصل 8 ايام في الفصل الثاني لا تمنح الحافز.
   واذا وجد غياب لو ليوم واحد بدون عذر سواء فصل أول أو فصل ثاني لا تمنح الحافز..",هل استحق الحافز اذا كنت أتبع  إدارة تعليم مكة؟,انا معلم صفوف اولية بمكة هل استحق الحافز,وش شروط الحوافز  لصفوف المبكرة بتعليم مكة
مستوى الموظفين الاداريين,الموارد البشرية,هل معلمي الصف الثاني والثالث يستحقون الحافز أم لا لمن يتبع ادارة تعليم مكة  ؟ ,استحقاق-حافز-معلم-استحقاق-حوافز-يتبع-ادارة-تعليم-مكة-صف-ثاني-ثالث-استحق-اول, الحافز فقط لمعلمات الصف الأول وليس الصف الثاني والثالث..,اذا كنت معلم  صف ثاني أو ثالث  و أتبع تعليم مكة هل استحق الحافز ؟,انا معلم ثاني بمكة هل استحق حافز صفوف اولية,حافز الصفوف الاولية بمكة لاي صف بالتحديد
مستوى الموظفين الاداريين,الموارد البشرية,هل يتم تطبيق تعميم حافز المختص بمنسوبات تربيه خاصه الدمج الفكري ومامدى  احقية التمتع به؟,تطبيق-تعميم-حافز-مختص-منسوبات-تربي-خاصة-دمج-فكري-مدى-احقية-تمتع-يطبق,اشارة الى تعميم رقم 56096 وتاريخ 2/12/1438 هـ والمتضمن اقرار التقويم الدراسي للاعوام الخمسة القادمة ويتضح ذلك في الفقرة رقم 10 وفقرة رقم 12 وعليه يتم العمل بموجبه .,هل يطبق تعميم حافز تربية الخاصة؟,هل معلمات التربية الخاصة والدمج الفكري لهم حق تمتع بالحافز ؟,من وين احصل على تعميم حافز التربية الخاصة والدمج الفكري؟
مستوى الموظفين الاداريين,الموارد البشرية,ماهي أسباب عدم استحقاق الترقية؟ ,وش-ما-استحق-عدم-الترقية-شروط-استحقاق-مستحق سبب-ترشيح,"لا يجوز النظر في ترقية الموظف في الحالات التالية :- 
- إذا كان  مبتعثًا أو موفدا للدراسة أو ملحقا بدورة تدريبية تزيد عن ستة أشهر في الداخل أو الخارج
- إذا كان في أجازه دراسية أو استثنائية 
- إذا كان مكفوف اليد أو محالا للمحاكمة أو يجري التحقيق معه في أمور ذات علاقة بالوظيفة العامة أو أمور مخلة بالشرف أو الأمانة 
- إذا كان قد عوقب بالحرمان من العلاوة أو الحسم من الراتب مدة خمسة عشر يوما فأكثر متصلة أو متفرقة خلال السنة السابقة لتاريخ النظر في ترقيته
- إذا اعد عنه في السنة الأخيرة تقويم أداء وظيفي بتقدير غير مرضي
- اذا لم يكمل 4 اعوام منذ حصوله على المرتبة التي يشغلها  . 
- يجب التأكد من صحة تاريخ الحصول على المرتبة في النظام .",                                           وش اسباب عدم استحقاقي للترقية؟                           ,ليش انا مو مستحق للترقية,لي اقل من 4 سنوات من الترقية هل يمكن التقديم الان
مستوى الموظفين الاداريين,الموارد البشرية,كيف يتم احتساب الأداء الوظيفي في الترقية؟ ,كم-يحسبون-الأداء-الوظيفي-الترقية-نقاط-مفاضلة,"تقويم الأداء:
 يكون الحد الأقصى لنقاطه (أربع ) نقاط للسنتين الأخيرتين اللتين يليهما الترشيح للترقية مباشرة على أساس التقويم الذي بدرجة (ممتاز ) نقطتان و التقويم الذي بدرجة (جيد جدا) نقطه واحدة، والتقويم الذي بدرجة (جيد)نصف نقطه
",وشلون يحسبون الأداء الوظيفي في الترقية؟               كم نقطة للأداء الوظيفي بالترقية؟,وش هي نقاط الاداء الوظيفي في الترقية,زودني بنقاط الاداء الوظيفي بالترقية
مستوى الموظفين الاداريين,الموارد البشرية,كيف يتم احتساب الأقدمية في الترقية؟,الية-للقديم-نقطة-للاحتساب-الترقية-نقاط-مفاضلة,"الأقدمية : 
 يكون الحد الأقصى لنقاطها (عشر ) نقاط ، بحيث تحتسب كل سنة خبرة زائدة عن المدة المقررة للبقاء في المرتبة نقطه ونصف للسنوات الأربع الأولى ونقطه واحده لكل سنة بعدها بشرط أن لا تكون قد احتسبت ضمن الخبرة المطلوبة للمرتبة المرشح لها ",وش الية الاقدمية للترقية؟ كم نقطة للقديم في التعليم للاحتساب بالترقية؟,وش هي نقاط الاقدمية بالترقية,زودني بنقاط الاقدمية بالترقية
مستوى الموظفين الاداريين,الموارد البشرية,كيف يتم احتساب عنصر التعليم في الترقية؟,عنصر-التعليم-الترقية-يحسبون-عناصر-نقاط-مفاضلة," التعليم:  
   يكون الحد الأقصى لنقاطه الزائد عن الحد الأدنى المطلوب للوظيفة ( اثنتي عشرة ) نقطه تحتسب على النحو التالي: 
       أ نقطه ونصف لكل سنة دراسية بعد الثانوية العامة إذا كانت في طبيعة عمل الوظيفة  ونقطه واحدة إذا كانت في غير طبيعة العمل 
      ب  نصف نقطه عن كل سنة دراسية للمرحلة الثانوية فما دون.
",كم عنصر للتعليم في الترقية؟وشلون يحسبون عناصر التعليم  في الترقية؟,وش هي عناصر التعليم بالترقية,زودني بعنصر التعليم بالترقية
مستوى الموظفين الاداريين,الموارد البشرية,هل  يجوز التنازل والانسحاب للموظف  الذي حصل على ترقية  سواء  عن طريق المفاضلة أو المسابقة و ما الذي يترتب على ذلك؟ ,اتنازل-الانسحاب-يترتب-الترقية-انسحب-شروط -انسحاب,"الأصل أنه لا يجوز للموظف التنازل عن ترقيته التي حصل عليها سواء عن طريق المسابقة أو المفاضلة  بعد مباشرته العمل على الوظيفة الأعلى لأن التنازل ليس حقاً له  ،  إنما يجوز لجهة الإدارة أن تلجأ للتنازل في حالة تصحيح وضع نظامي أووظيفي أو متى رأت أن هناك ظروف إضطرارية للموظف إستدعته للتنازل عن ترقيته وسيترتب على حالة إقرارالتنازل مايلي : -
1- يعاد  إلى وظيفته  ومرتبته السابقة  براتبه الذي كان يتقاضاه عليها  ويسوى  راتبه بالعلاوة الدورية إذا كانت مستحقه 
2- لا يسترد منه ما صرف له  من زيادة  في الراتب عن تلك الفترة  نتيجة الترقية إلى المرتبة الأعلى حتى عودته الى مرتبته السابقة  ، لأنه قد أدى العمل المقابل  له  في تلك المرتبة ، لأن الراتب هو الأجر المقررنظاماً  لهذا العمل 
3 –   يعود  إلى وضعه السابق بالنسبة لأقدميته  في المرتبة المتنازل إليها  قبل التنازل
   ذلك أن هذه الأقدمية لا يمكن إهدارها لأنها حق إكتسبه الموظف  من الناحية النظامية ولا يجوز حرمانه منه إلآ بنص صريح 
4 – لا يمنع من عودة الموظف إلى مقر عمله السابق إذا كان في جهة  أخرى إستحقاقه لبدل الترحيل الذي سبق أن صرف له إذا كان النقل نتيجة الترقية ،لأن بدل الترحيل قد صرف بسبب نظامي نتيجة للنقل الفعلي للموظف ولا يصرف له بدل ترحيل آخر نتيجة لتنازله عن الترقية",هل ينفع  اتنازل عن الترقية؟ ماذا يترتب على الانسحاب من الترقية؟,هل يوجد استثناء لاتمكن من الانسحاب او التنازل عن الترقية,هل اقدر انسحب من الترقية
مستوى الموظفين الاداريين,الموارد البشرية,ما هي طريقة إضافة المرفقات في بطاقة الترقية ؟,اضيف-المرفق-الترقية-ادرج-فارس,من خلال الضغط على أيقونة المرفقات في بطاقة الترقية ثم الضغط على اختيار ملف وتحديد الملف المطلوب ثم تطبيق .,شلون اضيف المرفق في الترقية؟كيف ادرج المرفقات في فار س علشان الترقية؟,كيف ارفع مرفقات في الترقية,شلون اضيف مرفق بالترقية
مستوى الموظفين الاداريين,الموارد البشرية,ماهي المرفقات المطلوبة في بطاقة الترقية ( نظام فارس ) ؟,المرفقات-المطلوبة-وش-اضيف-في-التقديم-الترقية-صورة-اداء-وظيفي-مسوغاتصيغة," صورة من الأداء الوظيفي للعام السابق والعام الحالي 
صورة من المؤهل
والرفع بصيغة pdf",وش المرفقات المطلوبة في الترقية؟ وش اضيف من مرفقات في التقديم على الترقية؟ ,وش صيغة المرفقات اللي ارفعها بالترقية,وش المرفقات المطلوبة لرفع الترقية
مستوى الموظفين الاداريين,الموارد البشرية,ماسبب تأخير اعتماد طلب الترقية في قسم الترقيات بالوزارة ؟,تاخر-اعتماد-الوزارة-اسباب-ترقيتي-الترقية,"سوف يتم الإعتماد بالتسلسل حسب نظام الترقيات في الوزارة
و نفيدكم بأن قسم الترقيات المعني بالاعتمادات يعمل على التأكد من مطابقة طلبكم مع وزارة الخدمة المدنية ,, 
علما انه في حال وجود اي ملاحظات على بيانات الموظف فستعاد البطاقة للموظف لإكمال المتطلبات ثم اعادة رفعها من قبل ادارته . ",ليه تاخر اعتماد ترقيتي في الوزارة؟ وش اسباب تاخر اعتماد الترقية؟,ليش ترقيتي مااعتمدتها الوزارة,وش اسباب تأخير اعتماد الترقية
مستوى الموظفين الاداريين,الموارد البشرية,ماذا بعد اعتماد طلب الترقية بشكل نهائي في نظام فارس ؟,كلياً-الترقية-اعتمدو-المرحلة-وش-بيصر-ترقيتي,"بعد اعتماد طلب الترقية و في حال ورود أسماء المترقين للمراتب فسيتم التواصل مع المرشحين و تبليغهم . ثم بإمكانك التقديم على طلب اخلاء طرف بعد صدور قرار الترقية  من خلال نظام فارس ثم التقديم على طلب مباشرة  من خلال نظام فارس الخدمة الذاتية . 
",وش المرحلة اللي بعد اعتماد الترقية كلياً؟وش بيصر بعد ما اعتمدو  بطاقة ترقيتي؟,ارسل لي فارس اعتمدت الترقية وش بيصير ,فارس ارسل اعتماد الترقية وش بعد الاعتماد
مستوى الموظفين الاداريين,الموارد البشرية,خطوات طلب المباشرة بعد اخلاء الطرف في الترقية الخدمة الذاتية فارس ؟,اقدم-طرفي-مباشرة-فارس-الترقية-بعد-ابلاغ-مباشرتي-خطوات-طريقة,"للإطلاع على خطوات المباشرة بعد الترقية بإمكانك الإطلاع على الرابط التالي :
https://youtu.be/moTvv30VJ5w",كيف اقدم مباشرة بعد اخلاء طرفي في فارس بعد الترقية؟,انا ترقيت كيف اقدم ابلاغ مباشرة,وش خطوات ابلاغ المباشرة بعد الترقية
مستوى الموظفين الاداريين,الموارد البشرية,خطوات طلب اخلاء طرف للترقية بعد صدور القرار الخدمة الذاتية فارس؟,اقدم-اخلاء-طلع-اسمي-الترقية-ترقيت-طرف-طريقة,"للإطلاع على خطوات طلب اخلاء طرف للترقية من خلال نظام فارس 
بإمكانك الإطلاع على الرابط التالي :
https://youtu.be/5idcQ74Sjf4",كيف اقدم اخلاء طرف  بعد ماطلع اسمي في الترقية؟,انا ترقيت كيف اقدم على اخلاء طرف,وش خطوات اخلاء الطرف بعد الترقية
مستوى الموظفين الاداريين,الموارد البشرية,استفسار بشأن تم اعتماد الترقية من الوزارة ولكن لم يظهر اسمي في المحضر ضمن المرشحين؟,اسمي-اعتمدو-الوزارة-الترقية-محضر-معتمدة-ترقيت,"نفيدكم ان اعتماد بطاقة الترقية لا يعني ان الموظف تم ترشيحه او ترقيته و انما يعني انهاء جميع الملاحظات على البطاقة  
و قسم الترقيات يعمل على نظام المفاضلة بحسب دليل التصنيف من قبل الخدمة المدنية 
واذا لم تتم ترقيتك فهذا يعني وجود من يفوقك بالنقاط و سوف يتم ادراجك في المحاضر القادمة . 
",اعتمدو اسمي بالوزارة للترقية ولا ظهر اسمي ؟,بطاقة الترقية معتمدة ليش ماترقيت,ليش ماطلع اسمي بالترقيات وهي معتمدة
مستوى الموظفين الاداريين,الموارد البشرية,ماهي نقاط المفاضلة المؤثرة في الترقيات؟,وش-نقاط-المفاضلة-تأثر-بالترقية-معايير-دورات-تدريبية,"هناك عدة عناصر مؤثرة في الترقيات وهي :
التعليم : بحد أقصى للنقاط (12 نقطة) بحيث يكون : نقطة ونصف لكل سنة دراسية بعد الثانوية العامة إذا كانت طبيعة عمل الوظيفة و نقطة واحدة إذا كانت في غير طبيعة العمل.
و نصف نقطة عن كل سنة دراسية للمرحلة الثانوية فما دون.
الأقدمية : بحد أقصى للنقاط (12 نقطة) بحيث : تحتسب كل سنة خبرة زائدة عن المدة المقررة للبقاء في المرتبة نقطة ونصف للسنوات الأربع الأولى، ونقطة واحدة لكل سنة بعدها بشرط ألا تكون قد احتسبت ضمن سنوات الخبرة المطلوبة للمرتبة المرشح لها.
تقويم الأداء الوظيفي : بحد أقصى (4 نقاط) بحيث يكون : للسنتين الأخيرتين اللتين يليهما الترشيح للترقية مباشرة على أساس التقويم الذي بدرجة (ممتاز) نقطتان، (جيد جدا) نقطة واحده، (جيد) نصف نقطة.
التدريب : بحد أقصى للنقاط (6 نقاط) بحيث يكون : كل شهر تدريب في الخبرات المباشرة للوظيفة المؤهل لها بـ (نقطة واحدة).
كل شهر تدريب في الخبرات النظرية أو المقبولة للوظيفة المؤهل لها بـ(نصف نقطة)",وش نقاط المفاضلة اللي تأثر بالترقية؟,ابي اعرف نقاط المفاضلة للترقية,وش هي نقاط المفاضلة للترقيات
مستوى الموظفين الاداريين,الموارد البشرية,هل اعلان المحضر للترقية يتم من قبل وزارة التعليم ام الخدمة المدنية؟,المسؤول-اعلان-محاضر-الخدمة-المدنية-التعليم-ترقيات-وزارة-محضر,دراسة محضر الترقيات عمل مشترك بين وزارة التعليم و الخدمة المدنية,من المسؤول عن اعلان محاضر الترقية التعليم أو الخدمة المدنية؟,هل الترقيات من وزارة التعليم او وزارة الخدمة المدنية ؟,مين اللي يصدر محاضر الترقية
مستوى الموظفين الاداريين,الموارد البشرية,استفسار  عن سبب عدم ظهور صلاحية الترقية في نظام فارس ؟,صلاحية-الترقيات-قارس-نظام-ترقية-تطلع-اطلع-ظهور-مختفية,"للمستفيدين الذين لم تظهر لديهم صلاحية الترقية :
يفضل الذهاب للقائمة الرئيسية 
الاعداد الشخصي
عند كلمة عرض يوجد مربع فيه قائمة منسدلة
كل المسؤوليات
المسؤليات المخفية
المسؤليات المعروضة
يتم تثبيتها على ""كل المسؤليات"" ثم النقر على ذهاب لتظهر المسؤليات
ثم ضع علامة صح عند كل الصلاحيات الموضحة في اختيار المسؤلية
صلاحية الخدمة الذاتية للموظف
صلاحية بياناتي
صلاحية الترقية",صلاحية الترقية ماتظهر لي في نظام فارس؟,وين القى صلاحية الترقية بفارس,دخلت فارس ومالقيت صلاحية الترقية
مستوى الموظفين الاداريين,الموارد البشرية,موعد اقفال وفتح  التقديم على الترقية في نظام فارس ؟  ,متى-يتم-يفتحون-يقفل-الترقية-في-فارس-نظام-فتحت-اغلقت-مفتوحة,في حال تم اقفال البطاقة أو فتحها يظهر اشعار في اعلى الصفحة بنظام فارس علماً بأن حالياً التقديم على الترقية مغلق في نظام فارس .. ,متى يتم يفتحون التقديم على الترقية في نظام فارس؟متى يقفل التقديم على الترقية في نظام فارس؟,كيف اعرف ان الترقية فتحت بنظام فارس ؟,كيف اعرف ان الترقية اغلقت بنظام فارس ؟
